Geneid,orth_group,num,CaB41,CaB44,Ca30m1,Ca30m2,Ca1h1,Ca1h2,Ca1.5h1,Ca1.5h2,Ca2h1,Ca2h4,Ca3h1,Ca3h2,Ca4h1,Ca4h3,Ca6h1,Ca6h3,Ca8h1,Ca8h2
YAL068C,1,1,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1
YAL059W,2,1,938,892,212,235,946,799,961,815,631,518,147,139,266,264,513,511,1055,902
CAGL0D00220g,2,2,489,416,1210,1222,36,47,76,56,157,145,641,298,671,621,1071,751,889,1623
KLLA0F00484g,2,3,499,552,3390,3067,169,131,293,328,1067,887,1123,979,912,1055,1005,1484,1158,1173
orf19.5299,2,4,174,187,2405,2345,1440,1157,426,309,507,491,2170,2381,2556,3470,2862,3981,3170,2633
YBL103C,3,1,868,774,1247,1232,1088,1042,1042,965,1300,878,1088,985,1145,1017,1050,1139,1213,1081
CAGL0M09405g,3,2,1751,1624,1746,1533,3144,3572,4027,3154,3586,3768,4335,2808,3259,3212,3816,3341,3363,5706
KLLA0E06513g,3,3,1336,1248,907,794,1960,1966,1614,1897,1694,1548,1700,1388,1516,1603,1417,1895,1579,1614
orf19.2315,3,4,1373,1463,1683,1766,1548,1338,1731,1305,1828,1487,2263,1951,1663,1823,1724,1611,1795,1804
YDR167W,4,1,943,924,1088,1218,1273,1125,1208,1106,1279,1070,1002,903,1058,1119,964,1181,1261,1191
CAGL0E00935g,4,2,2993,2657,3370,3526,2355,2406,2768,2201,2836,2913,3661,2249,1899,2185,2658,2334,2265,1802
KLLA0D17204g,4,3,622,737,1022,962,1211,1135,899,1071,1198,932,1134,1001,970,975,812,1372,809,878
orf19.3242,4,4,1365,1509,1433,1494,1600,1487,2261,1880,2540,2017,2477,1976,1608,1890,1614,1575,1522,1506
YDR168W,5,1,2035,1902,3528,3457,3500,2832,2544,2269,3448,2730,3416,3232,3083,2767,2549,2804,3044,2349
CAGL0E00913g,5,2,5785,4952,4764,4690,7795,8794,11232,9128,11226,11083,14807,8342,8986,8345,9287,7582,7650,11248
KLLA0D17226g,5,3,1734,1833,1949,1799,5529,5319,3866,4501,5730,4573,5662,4712,4772,4892,3762,5398,3591,3845
